
site_id,site_name,latitude,longitude,area_sqm,solar_irradiance_kwh,grid_distance_km,slope_degrees,road_distance_km,elevation_m,land_type,region
23,Sathyamangalam Hills,11.5089,77.2361,18000,4.8,15.2,18.5,5.5,825,Hilly,Tamil Nadu
24,Gobichettipalayam Field,11.4556,77.4431,71000,6.0,1.6,1.4,0.6,255,Agricultural,Tamil Nadu
25,Anthiyur Rural Area,11.5761,77.5931,46000,5.8,4.5,5.8,1.9,315,Agricultural,Tamil Nadu
26,Chennimalai Textile Zone,11.1644,77.6036,39000,5.6,3.9,3.5,1.3,285,Industrial,Tamil Nadu
27,Perundurai Junction,11.2750,77.5878,54000,5.8,2.4,2.1,0.8,265,Mixed Use,Tamil Nadu
28,Vijayamangalam Site,11.4956,77.5544,62000,5.9,1.9,1.7,0.7,275,Open Land,Tamil Nadu
29,Ingur Dam Adjacent,11.3889,77.0556,28000,5.3,7.8,8.2,3.1,465,Near Water Body,Tamil Nadu
30,Sirumugai Wildlife Border,11.3206,76.6911,22000,5.0,11.5,12.8,4.5,685,Forest Adjacent,Tamil Nadu
31,Podanur Railway Zone,10.9858,76.9731,41000,5.6,3.2,3.8,1.1,395,Industrial,Tamil Nadu
32,Sundakkamuthur Field,11.0231,77.0989,58000,5.8,2.2,1.8,0.7,375,Agricultural,Tamil Nadu
33,Vellalore Lake Side,10.9456,76.8978,32000,5.4,6.2,5.5,2.4,445,Near Water Body,Tamil Nadu
34,Narasimhanaickenpalayam,11.2089,77.1578,67000,6.0,1.4,1.3,0.5,355,Agricultural,Tamil Nadu
35,Karumathampatti North,11.0456,77.0061,49000,5.7,3.6,4.2,1.4,405,Mixed Use,Tamil Nadu
36,Chinnavedampatti Site,10.9567,76.9228,55000,5.8,2.7,2.5,0.9,415,Open Land,Tamil Nadu
37,Thondamuthur Hills,10.9789,76.8156,19000,4.9,13.8,16.2,4.8,625,Hilly,Tamil Nadu
38,Chettipalayam Plains,11.0789,77.1456,74000,6.1,1.2,1.1,0.4,365,Agricultural,Tamil Nadu
39,Ganapathy Industrial,11.0456,76.9689,36000,5.5,4.5,3.9,1.5,425,Industrial,Tamil Nadu
40,Idigarai Border Site,10.8878,76.9456,63000,5.9,2.0,1.9,0.7,385,Open Land,Tamil Nadu
41,Malumichampatti East,11.0978,77.2267,51000,5.7,3.1,2.9,1.0,345,Agricultural,Tamil Nadu
42,Kaniyur Rural Tract,11.0089,77.3456,68000,5.9,1.7,1.5,0.6,325,Agricultural,Tamil Nadu
43,Kurichi Lake Zone,11.0234,76.9356,29000,5.3,7.1,6.8,2.7,435,Near Water Body,Tamil Nadu
44,Veerapandi Junction,10.9345,77.4567,56000,5.8,2.5,2.3,0.8,315,Mixed Use,Tamil Nadu
45,Oddarpalayam Field,11.0867,77.3789,72000,6.0,1.5,1.2,0.5,335,Open Land,Tamil Nadu
46,Perur Temple Adjacent,11.0245,76.9123,33000,5.4,5.5,5.2,2.0,445,Peri-Urban,Tamil Nadu
47,Somayampalayam Site,11.0678,77.1834,61000,5.9,2.1,1.8,0.7,365,Agricultural,Tamil Nadu
48,Madvarayapuram Zone,11.1234,77.2567,47000,5.6,3.8,3.6,1.3,355,Mixed Use,Tamil Nadu
49,Saravanampatti Tech Hub,11.0767,76.9956,42000,5.5,4.2,4.0,1.4,415,Industrial,Tamil Nadu
50,Thudiyalur Eastern Site,11.0556,77.0456,69000,6.0,1.8,1.6,0.6,385,Open Land,Tamil Nadu
